,title,brand,model,price,discount,discount_%,sex,colour,cushioning,stability,best_use_surface,midsole,outsole,upper,link_shoes
475,HOKA Ora Recovery Slide 3,HOKA,Ora Recovery Slide 3,59.95,0.0,0.0,unisex, Cyclamen/Coastal Sky,,,,IM Sugarcane EVA foam for Maximum comfort and an eco-friendly impact.Early Stage Meta-Rocker Geometrydesigned to encourage an efficient gait.,IMEVA Foam for enhanced cloud-like cushioning in every step.Injection Molded Rubber Outsole with strategic groove placement provides traction.,Sandal Construction wrapping across the top of the midfoot for a secure fit.Air Flow Channels for superior breathability.  ,https://www.runningwarehouse.com/HOKA_Ora_Recovery_Slide_3/descpage-HOS3U06.html
476,HOKA Ora Recovery Slide 3,HOKA,Ora Recovery Slide 3,59.95,0.0,0.0,unisex, Coastal Sky/All Aboard,,,,IM Sugarcane EVA foam for Maximum comfort and an eco-friendly impact.Early Stage Meta-Rocker Geometrydesigned to encourage an efficient gait.,IMEVA Foam for enhanced cloud-like cushioning in every step.Injection Molded Rubber Outsole with strategic groove placement provides traction.,Sandal Construction wrapping across the top of the midfoot for a secure fit.Air Flow Channels for superior breathability.  ,https://www.runningwarehouse.com/HOKA_Ora_Recovery_Slide_3/descpage-HOS3U05.html
477,HOKA Ora Recovery Slide 3,HOKA,Ora Recovery Slide 3,59.95,0.0,0.0,unisex, Cloud Blue/Stone Blue,,,,IM Sugarcane EVA foam for Maximum comfort and an eco-friendly impact.Early Stage Meta-Rocker Geometrydesigned to encourage an efficient gait.,IMEVA Foam for enhanced cloud-like cushioning in every step.Injection Molded Rubber Outsole with strategic groove placement provides traction.,Sandal Construction wrapping across the top of the midfoot for a secure fit.Air Flow Channels for superior breathability.  ,https://www.runningwarehouse.com/HOKA_Ora_Recovery_Slide_3/descpage-HOS3U04.html
478,HOKA Ora Luxe,HOKA,Ora Luxe,79.95,0.0,0.0,unisex, Summer Song/Amber Yellow,,,,Sugarcane EVAprovides plush step-in comfort with sustainable manufacturing.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to encourage an efficient gait.,Rubber outsolewith strategic groove placement provides traction and additional underfoot cushioning.,"Ariaprene Strapwraps across the top of the midfoot for secure, breathable, adjustable comfort.  ",https://www.runningwarehouse.com/HOKA_Ora_Luxe/descpage-HOLSU4.html
479,HOKA Ora Luxe,HOKA,Ora Luxe,79.95,0.0,0.0,unisex, Fiesta/Amber Yellow,,,,Sugarcane EVAprovides plush step-in comfort with sustainable manufacturing.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to encourage an efficient gait.,Rubber outsolewith strategic groove placement provides traction and additional underfoot cushioning.,"Ariaprene Strapwraps across the top of the midfoot for secure, breathable, adjustable comfort.  ",https://www.runningwarehouse.com/HOKA_Ora_Luxe/descpage-HOLSU5.html
480,HOKA Ora Luxe,HOKA,Ora Luxe,79.95,0.0,0.0,unisex, Stone Blue/Bluesteel,,,,Sugarcane EVAprovides plush step-in comfort with sustainable manufacturing.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to encourage an efficient gait.,Rubber outsolewith strategic groove placement provides traction and additional underfoot cushioning.,"Ariaprene Strapwraps across the top of the midfoot for secure, breathable, adjustable comfort.  ",https://www.runningwarehouse.com/HOKA_Ora_Luxe/descpage-HOLSU8.html
481,HOKA Ora Luxe,HOKA,Ora Luxe,79.95,0.0,0.0,unisex, Mist Green/Trellis,,,,Sugarcane EVAprovides plush step-in comfort with sustainable manufacturing.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to encourage an efficient gait.,Rubber outsolewith strategic groove placement provides traction and additional underfoot cushioning.,"Ariaprene Strapwraps across the top of the midfoot for secure, breathable, adjustable comfort.  ",https://www.runningwarehouse.com/HOKA_Ora_Luxe/descpage-HOLSU7.html
482,HOKA Ora Luxe,HOKA,Ora Luxe,79.95,0.0,0.0,unisex, Impala/Vibrant Orange,,,,Sugarcane EVAprovides plush step-in comfort with sustainable manufacturing.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to encourage an efficient gait.,Rubber outsolewith strategic groove placement provides traction and additional underfoot cushioning.,"Ariaprene Strapwraps across the top of the midfoot for secure, breathable, adjustable comfort.  ",https://www.runningwarehouse.com/HOKA_Ora_Luxe/descpage-HOLSU6.html
483,HOKA Ora Luxe,HOKA,Ora Luxe,79.95,0.0,0.0,unisex, White/Camellia,,,,Sugarcane EVAprovides plush step-in comfort with sustainable manufacturing.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to encourage an efficient gait.,Rubber outsolewith strategic groove placement provides traction and additional underfoot cushioning.,"Ariaprene Strapwraps across the top of the midfoot for secure, breathable, adjustable comfort.  ",https://www.runningwarehouse.com/HOKA_Ora_Luxe/descpage-HOLSU1.html
484,HOKA Ora Luxe,HOKA,Ora Luxe,79.95,0.0,0.0,unisex, Black/Black,,,,Sugarcane EVAprovides plush step-in comfort with sustainable manufacturing.Early Stage Meta-Rocker Geometryis a rockered midsole design engineered to encourage an efficient gait.,Rubber outsolewith strategic groove placement provides traction and additional underfoot cushioning.,"Ariaprene Strapwraps across the top of the midfoot for secure, breathable, adjustable comfort.  ",https://www.runningwarehouse.com/HOKA_Ora_Luxe/descpage-HOLSU2.html
485,HOKA Cielo X 2 LD Spikes,HOKA,Cielo X 2 LD Spikes,159.95,0.0,0.0,unisex, Ceramic/Evening Primro,,,"Distance (3k-10k),Steeplechase,Rubber",Supercritical Foammidsole provides lightweight and responsive cushioning.Carbon Fiber Platedelivers a responsive and snappy ride.,Pebax 4-pin spike plate on the outsole for optimal traction.,Engineered Meshprovides comfortable and breathable fit.  ,https://www.runningwarehouse.com/HOKA_Cielo_X_2_LD_Spikes/descpage-HCX2LU1.html
